%time,field
1697994090564034048,1900
1697994090625897408,1900
1697994090673353280,1902
1697994090725813152,1900
1697994090773387040,1899
1697994090823199008,1900
1697994090883243264,1899
1697994090933637536,1900
1697994090983620512,1900
1697994091033202848,1901
1697994091083467200,1899
1697994091143291584,1900
1697994091193369984,1899
1697994091243557472,1899
1697994091294041344,1898
1697994091354437216,1900
1697994091403443264,1898
1697994091453505184,1900
1697994091505778944,1901
1697994091555741536,1899
1697994091613290944,1900
1697994091663607488,1900
1697994091717773344,1900
1697994091763184832,1900
1697994091814026944,1899
1697994091873938496,1901
1697994091927571488,1902
1697994091973576000,1900
1697994092023478336,1900
1697994092074143392,1900
1697994092133890944,1900
1697994092183343712,1899
1697994092233429760,1900
1697994092284087904,1900
1697994092333925312,1900
1697994092393276224,1900
1697994092443844416,1899
1697994092494305792,1900
1697994092543954144,1900
1697994092603541024,1899
1697994092653495520,1901
1697994092704352800,1898
1697994092753221440,1901
1697994092803328992,1900
1697994092863168160,1900
1697994092913223008,1900
1697994092964921344,1900
1697994093013243744,1904
1697994093063145568,1900
1697994093123149664,1900
1697994093174456864,1900
1697994093226358688,1899
1697994093274346080,1899
1697994093324125024,1899
1697994093383931968,1900
1697994093433340064,1900
1697994093483291296,1900
1697994093533394240,1900
1697994093584409792,1900
1697994093643246432,1897
1697994093694520640,1899
1697994093743396160,1900
1697994093793650528,1900
1697994093854179136,1900
1697994093903327808,1899
1697994093953812896,1901
1697994094003138560,1900
1697994094053954976,1902
1697994094113829792,1900
1697994094164448448,1898
1697994094213935168,1900
1697994094263256896,1900
1697994094314181632,1901
1697994094373455552,1900
1697994094426323616,1900
1697994094473625792,1899
1697994094524012832,1901
1697994094574648960,1900
1697994094633638688,1900
1697994094683442304,1900
1697994094733227872,1900
1697994094783853984,1900
1697994094833803136,1900
1697994094893822656,1900
1697994094943632064,1900
1697994094993613248,1898
1697994095043739392,1898
1697994095103238208,1900
1697994095153459488,1900
1697994095203823424,1899
1697994095256315104,1900
1697994095303571584,1899
1697994095369838880,1900
1697994095416858336,1900
1697994095463689088,1900
1697994095513350624,1900
1697994095563632032,1900
1697994095624513184,1902
1697994095674144352,1901
1697994095723660416,1904
1697994095773195328,1902
1697994095823381600,1900
1697994095885986656,1900
1697994095933235872,1899
1697994095983900768,1900
1697994096035876512,1900
1697994096083375840,1900
1697994096144924256,1900
1697994096193340288,1900
1697994096244295840,1899
1697994096294064864,1900
1697994096357146048,1899
1697994096404405376,1899
1697994096454140288,1899
1697994096504353760,1900
1697994096554198848,1901
1697994096613181120,1900
1697994096663827520,1901
1697994096715704192,1900
1697994096763111904,1901
1697994096818271808,1900
1697994096873967040,1900
1697994096923492928,1896
1697994096973847520,1901
1697994097023249440,1898
1697994097073629728,1899
1697994097133207328,1902
1697994097183379296,1900
1697994097233865632,1899
1697994097285291616,1900
1697994097333329184,1900
1697994097393598976,1900
1697994097443430560,1900
1697994097493393504,1900
1697994097543286752,1900
1697994097603149504,1900
1697994097653252544,1900
1697994097706045728,1898
1697994097753378368,1900
1697994097803192480,1900
1697994097863545856,1900
1697994097913552096,1900
1697994097964097056,1902
1697994098013311360,1899
1697994098063236480,1900
1697994098123176064,1900
1697994098174820032,1900
1697994098223201568,1900
1697994098273359616,1900
1697994098324656800,1900
1697994098383733952,1901
1697994098438019456,1900
