%time,field
1697993792073961344,1899
1697993792137463776,1899
1697993792186727584,1900
1697993792234408192,1900
1697993792283994848,1900
1697993792333763232,1900
1697993792393331904,1900
1697993792443348448,1899
1697993792493671744,1897
1697993792543274752,1900
1697993792603618080,1899
1697993792653272000,1899
1697993792703137696,1900
1697993792753614432,1900
1697993792809195552,1900
1697993792864356704,1900
1697993792913270016,1900
1697993792963780192,1899
1697993793013580512,1900
1697993793063303968,1900
1697993793123562432,1898
1697993793173324704,1900
1697993793224032064,1900
1697993793273449984,1900
1697993793323190944,1900
1697993793385082688,1898
1697993793435852640,1900
1697993793483988448,1898
1697993793533888384,1900
1697993793584833504,1900
1697993793643680448,1900
1697993793693241152,1900
1697993793743212768,1900
1697993793794123616,1900
1697993793853592384,1900
1697993793903998688,1900
1697993793953542144,1900
1697993794003239200,1898
1697993794055968864,1900
1697993794116095808,1900
1697993794163547040,1899
1697993794215267584,1900
1697993794264759648,1900
1697993794314556544,1900
1697993794374122080,1900
1697993794426686176,1900
1697993794474043264,1901
1697993794523342976,1900
1697993794574385120,1900
1697993794634553024,1900
1697993794686446080,1900
1697993794733464512,1900
1697993794783696960,1899
1697993794833532544,1900
1697993794893513184,1900
1697993794944181472,1900
1697993794993198144,1900
1697993795047142752,1900
1697993795104072096,1900
1697993795154395008,1900
1697993795203976512,1900
1697993795255387744,1900
1697993795303190144,1899
1697993795363207072,1901
1697993795417157472,1899
1697993795467409664,1900
1697993795513365472,1900
1697993795564119808,1900
1697993795623257056,1899
1697993795673548960,1900
1697993795723278400,1900
1697993795773779392,1899
1697993795824294592,1900
1697993795883757760,1900
1697993795933515296,1900
1697993795983714976,1900
1697993796033944320,1899
1697993796083530144,1900
1697993796143507136,1900
1697993796193953056,1899
1697993796243190976,1899
1697993796293581344,1902
1697993796354769984,1900
1697993796403249184,1900
1697993796453425856,1900
1697993796503090848,1900
1697993796554199040,1900
1697993796613435232,1900
1697993796663385088,1900
1697993796713371968,1897
1697993796763542304,1898
1697993796817819040,1900
1697993796877054592,1900
1697993796923622176,1899
1697993796974253728,1900
1697993797023278432,1900
1697993797073328896,1900
1697993797133653408,1899
1697993797183725920,1898
1697993797233200320,1900
1697993797285940992,1900
1697993797333289856,1899
1697993797393201504,1900
1697993797443296768,1899
1697993797493529152,1901
1697993797543360960,1898
1697993797603248288,1898
1697993797653900320,1899
1697993797703934848,1900
1697993797757032544,1900
1697993797803389568,1900
1697993797863688064,1899
1697993797916357888,1899
1697993797963208736,1900
1697993798013891872,1900
1697993798064548992,1899
1697993798123297952,1900
1697993798173646208,1899
1697993798224051552,1900
1697993798274172224,1900
1697993798323386560,1900
1697993798383319488,1900
1697993798434135712,1900
1697993798483132192,1898
1697993798534250240,1900
1697993798583142048,1900
1697993798644466496,1900
1697993798693996512,1900
1697993798744702112,1900
1697993798793971520,1900
1697993798853877952,1901
1697993798903642592,1900
1697993798953917440,1900
1697993799003450656,1900
